2023-03-08 17:37:45 upgrade dpkg:amd64 1.21.1ubuntu2 1.21.1ubuntu2
2023-03-08 17:37:45 status half-configured dpkg:amd64 1.21.1ubuntu2
2023-03-08 17:37:45 status unpacked dpkg:amd64 1.21.1ubuntu2
2023-03-08 17:37:45 status half-installed dpkg:amd64 1.21.1ubuntu2
2023-03-08 17:37:46 status unpacked dpkg:amd64 1.21.1ubuntu2
2023-03-08 17:37:46 install e2fsprogs:amd64 <none> 1.46.5-2ubuntu1
2023-03-08 17:37:46 status half-installed e2fsprogs:amd64 1.46.5-2ubuntu1
2023-03-08 17:37:46 status unpacked e2fsprogs:amd64 1.46.5-2ubuntu1
2023-03-08 17:37:46 install findutils:amd64 <none> 4.8.0-1ubuntu3
2023-03-08 17:37:46 status half-installed findutils:amd64 4.8.0-1ubuntu3
2023-03-08 17:37:46 status unpacked findutils:amd64 4.8.0-1ubuntu3
2023-03-08 17:37:46 install gcc-12-base:amd64 <none> 12-20220319-1ubuntu1
2023-03-08 17:37:46 status half-installed gcc-12-base:amd64 12-20220319-1ubuntu1
2023-03-08 17:37:46 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2023-03-08 17:37:46 install grep:amd64 <none> 3.7-1build1
2023-03-08 17:37:46 status half-installed grep:amd64 3.7-1build1
2023-03-08 17:37:46 status unpacked grep:amd64 3.7-1build1
2023-03-08 17:37:46 install gzip:amd64 <none> 1.10-4ubuntu4
2023-03-08 17:37:46 status half-installed gzip:amd64 1.10-4ubuntu4
2023-03-08 17:37:46 status unpacked gzip:amd64 1.10-4ubuntu4
2023-03-08 17:37:46 install hostname:amd64 <none> 3.23ubuntu2
2023-03-08 17:37:46 status half-installed hostname:amd64 3.23ubuntu2
2023-03-08 17:37:46 status unpacked hostname:amd64 3.23ubuntu2
2023-03-08 17:37:46 install init-system-helpers:all <none> 1.62
2023-03-08 17:37:46 status half-installed init-system-helpers:all 1.62
2023-03-08 17:37:46 status unpacked init-system-helpers:all 1.62
2023-03-08 17:37:46 install libacl1:amd64 <none> 2.3.1-1
2023-03-08 17:37:46 status half-installed libacl1:amd64 2.3.1-1
2023-03-08 17:37:46 status unpacked libacl1:amd64 2.3.1-1
2023-03-08 17:37:46 install libattr1:amd64 <none> 1:2.5.1-1build1
2023-03-08 17:37:46 status half-installed libattr1:amd64 1:2.5.1-1build1
2023-03-08 17:37:46 status unpacked libattr1:amd64 1:2.5.1-1build1
2023-03-08 17:37:46 install libaudit-common:all <none> 1:3.0.7-1build1
2023-03-08 17:37:46 status half-installed libaudit-common:all 1:3.0.7-1build1
2023-03-08 17:37:46 status unpacked libaudit-common:all 1:3.0.7-1build1
2023-03-08 17:37:46 install libaudit1:amd64 <none> 1:3.0.7-1build1
2023-03-08 17:37:46 status half-installed libaudit1:amd64 1:3.0.7-1build1
2023-03-08 17:37:46 status unpacked libaudit1:amd64 1:3.0.7-1build1
2023-03-08 17:37:46 install libblkid1:amd64 <none> 2.37.2-4ubuntu3
2023-03-08 17:37:46 status half-installed libblkid1:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:47 status unpacked libblkid1:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:47 install libbz2-1.0:amd64 <none> 1.0.8-5build1
2023-03-08 17:37:47 status half-installed libbz2-1.0:amd64 1.0.8-5build1
2023-03-08 17:37:47 status unpacked libbz2-1.0:amd64 1.0.8-5build1
2023-03-08 17:37:47 install libc-bin:amd64 <none> 2.35-0ubuntu3
2023-03-08 17:37:47 status half-installed libc-bin:amd64 2.35-0ubuntu3
2023-03-08 17:37:47 status unpacked libc-bin:amd64 2.35-0ubuntu3
2023-03-08 17:37:47 upgrade libc6:amd64 2.35-0ubuntu3 2.35-0ubuntu3
2023-03-08 17:37:47 status half-configured libc6:amd64 2.35-0ubuntu3
2023-03-08 17:37:47 status unpacked libc6:amd64 2.35-0ubuntu3
2023-03-08 17:37:47 status half-installed libc6:amd64 2.35-0ubuntu3
2023-03-08 17:37:47 status unpacked libc6:amd64 2.35-0ubuntu3
2023-03-08 17:37:47 install libcap-ng0:amd64 <none> 0.7.9-2.2build3
2023-03-08 17:37:47 status half-installed libcap-ng0:amd64 0.7.9-2.2build3
2023-03-08 17:37:47 status unpacked libcap-ng0:amd64 0.7.9-2.2build3
2023-03-08 17:37:47 install libcap2:amd64 <none> 1:2.44-1build3
2023-03-08 17:37:47 status half-installed libcap2:amd64 1:2.44-1build3
2023-03-08 17:37:47 status unpacked libcap2:amd64 1:2.44-1build3
